Time	Sum	Command
492	19924	-----> fish_status_to_signal $argv | string join "$sep"
1136	1161	------> source /usr/share/fish/functions/fish_status_to_signal.fish
25	25	-------> function fish_status_to_signal --description "Convert exit code to signal name"...
241	18133	------> __fish_make_completion_signals
950	969	-------> source /usr/share/fish/functions/__fish_make_completion_signals.fish
19	19	--------> function __fish_make_completion_signals --description 'Make list of kill signals for completion'...
16	16	-------> set -q __kill_signals
13	13	-------> set -g __kill_signals
271	2656	-------> set -l os (uname)
2385	2385	--------> uname
11	69	-------> if string match -q 'CYGWIN*' -- $os...
32	32	--------> string match -q 'CYGWIN*' -- $os
16	16	--------> string match -eiq Msys -- $os
10	10	--------> string match -eiq mingw -- $os
43	43	-------> command -q kill
88	14126	-------> if kill -t 2>/dev/null >/dev/null...
95	3295	--------> kill -t 2>/dev/null >/dev/null
253	614	---------> set -l args (__fish_expand_pid_args $argv)
34	361	----------> __fish_expand_pid_args $argv
41	327	-----------> for arg in $argv...
19	286	------------> if string match -qr '^%\d+$' -- $arg...
96	96	-------------> string match -qr '^%\d+$' -- $arg
171	171	-------------> printf "%s\n" $arg
2586	2586	---------> command kill $args
142	2746	--------> not kill -L 2>/dev/null >/dev/null
304	488	---------> set -l args (__fish_expand_pid_args $argv)
34	184	----------> __fish_expand_pid_args $argv
41	150	-----------> for arg in $argv...
18	109	------------> if string match -qr '^%\d+$' -- $arg...
62	62	-------------> string match -qr '^%\d+$' -- $arg
29	29	-------------> printf "%s\n" $arg
2116	2116	---------> command kill $args
67	67	--------> complete -c kill -s L --description "List codes and names of available signals"
1427	7930	--------> kill -L 2>/dev/null | string trim | string replace -ra '   *' \n | while read -l signo signame
            set -a __kill_signals "$signo $signame"
        end
254	435	---------> set -l args (__fish_expand_pid_args $argv)
35	181	----------> __fish_expand_pid_args $argv
38	146	-----------> for arg in $argv...
20	108	------------> if string match -qr '^%\d+$' -- $arg...
61	61	-------------> string match -qr '^%\d+$' -- $arg
27	27	-------------> printf "%s\n" $arg
2075	2075	---------> command kill $args
85	85	---------> read -l signo signame
49	49	---------> set -a __kill_signals "$signo $signame"
53	53	---------> read -l signo signame
36	36	---------> set -a __kill_signals "$signo $signame"
54	54	---------> read -l signo signame
34	34	---------> set -a __kill_signals "$signo $signame"
49	49	---------> read -l signo signame
30	30	---------> set -a __kill_signals "$signo $signame"
51	51	---------> read -l signo signame
30	30	---------> set -a __kill_signals "$signo $signame"
51	51	---------> read -l signo signame
31	31	---------> set -a __kill_signals "$signo $signame"
47	47	---------> read -l signo signame
54	54	---------> set -a __kill_signals "$signo $signame"
64	64	---------> read -l signo signame
67	67	---------> set -a __kill_signals "$signo $signame"
48	48	---------> read -l signo signame
31	31	---------> set -a __kill_signals "$signo $signame"
49	49	---------> read -l signo signame
30	30	---------> set -a __kill_signals "$signo $signame"
57	57	---------> read -l signo signame
39	39	---------> set -a __kill_signals "$signo $signame"
72	72	---------> read -l signo signame
58	58	---------> set -a __kill_signals "$signo $signame"
72	72	---------> read -l signo signame
39	39	---------> set -a __kill_signals "$signo $signame"
71	71	---------> read -l signo signame
79	79	---------> set -a __kill_signals "$signo $signame"
118	118	---------> read -l signo signame
164	164	---------> set -a __kill_signals "$signo $signame"
100	100	---------> read -l signo signame
59	59	---------> set -a __kill_signals "$signo $signame"
74	74	---------> read -l signo signame
68	68	---------> set -a __kill_signals "$signo $signame"
69	69	---------> read -l signo signame
43	43	---------> set -a __kill_signals "$signo $signame"
61	61	---------> read -l signo signame
44	44	---------> set -a __kill_signals "$signo $signame"
66	66	---------> read -l signo signame
42	42	---------> set -a __kill_signals "$signo $signame"
62	62	---------> read -l signo signame
44	44	---------> set -a __kill_signals "$signo $signame"
95	95	---------> read -l signo signame
48	48	---------> set -a __kill_signals "$signo $signame"
64	64	---------> read -l signo signame
37	37	---------> set -a __kill_signals "$signo $signame"
56	56	---------> read -l signo signame
42	42	---------> set -a __kill_signals "$signo $signame"
56	56	---------> read -l signo signame
39	39	---------> set -a __kill_signals "$signo $signame"
58	58	---------> read -l signo signame
39	39	---------> set -a __kill_signals "$signo $signame"
70	70	---------> read -l signo signame
46	46	---------> set -a __kill_signals "$signo $signame"
73	73	---------> read -l signo signame
39	39	---------> set -a __kill_signals "$signo $signame"
58	58	---------> read -l signo signame
36	36	---------> set -a __kill_signals "$signo $signame"
81	81	---------> read -l signo signame
37	37	---------> set -a __kill_signals "$signo $signame"
65	65	---------> read -l signo signame
35	35	---------> set -a __kill_signals "$signo $signame"
52	52	---------> read -l signo signame
34	34	---------> set -a __kill_signals "$signo $signame"
48	48	---------> read -l signo signame
35	35	---------> set -a __kill_signals "$signo $signame"
49	49	---------> read -l signo signame
44	44	---------> set -a __kill_signals "$signo $signame"
55	55	---------> read -l signo signame
35	35	---------> set -a __kill_signals "$signo $signame"
58	58	---------> read -l signo signame
42	42	---------> set -a __kill_signals "$signo $signame"
23	23	---------> read -l signo signame
44	128	------> for arg in $argv...
19	84	-------> if test $arg -gt 128...
42	42	--------> test $arg -gt 128
23	23	--------> echo $arg
10	10	------> return 0
23	23	----> set -l last_status_string ""
5	33	----> if test "$last_status" -ne "$argv[-1]"...
28	28	-----> test "$last_status" -ne "$argv[-1]"
156	179	----> set -l normal (set_color normal)
23	23	-----> set_color normal
104	104	----> printf "%s" $normal $brace_sep_color $left_brace \
            $status_color $last_pipestatus_string \
            $normal $brace_sep_color $right_brace $normal $last_status_string $normal
704	9640	-> echo -n -s (prompt_login)' ' (set_color $color_cwd) (prompt_pwd) $normal (fish_vcs_prompt) $normal " "$prompt_status $suffix " "
233	1650	--> prompt_login
7	25	---> if not set -q __fish_machine...
18	18	----> not set -q __fish_machine
4	17	---> if set -q __fish_machine[1]...
13	13	----> set -q __fish_machine[1]
27	27	---> set -l color_host $fish_color_host
5	16	---> if set -q SSH_TTY...
11	11	----> set -q SSH_TTY
773	1332	---> echo -n -s (set_color $fish_color_user) "$USER" (set_color normal) @ (set_color $color_host) (prompt_hostname) (set_color normal)
65	65	----> set_color $fish_color_user
23	23	----> set_color normal
28	28	----> set_color $color_host
273	416	----> prompt_hostname
143	143	-----> string replace -r -- "\..*" "" $hostname
27	27	----> set_color normal
56	56	--> set_color $color_cwd
159	1751	--> prompt_pwd
34	34	---> set -l options h/help d/dir-length= D/full-length-dirs=
61	61	---> argparse -n prompt_pwd $options -- $argv
6	19	---> if set -q _flag_help...
13	13	----> set -q _flag_help
10	10	---> set -q argv[1]
23	23	---> set argv $PWD
10	10	---> set -ql _flag_d
11	11	---> set -q fish_prompt_pwd_dir_length
19	19	---> set -l fish_prompt_pwd_dir_length 1
14	14	---> set -l fulldirs 0
8	8	---> set -ql _flag_D
10	10	---> set -q fish_prompt_pwd_full_dirs
18	18	---> set -l fish_prompt_pwd_full_dirs 1
73	1355	---> for path in $argv...
173	211	----> set -l realhome (string escape --style=regex -- ~)
38	38	-----> string escape --style=regex -- ~
150	232	----> set -l tmp (string replace -r '^'"$realhome"'($|/)' '~$1' $path)
82	82	-----> string replace -r '^'"$realhome"'($|/)' '~$1' $path
42	839	----> if test "$fish_prompt_pwd_dir_length" -eq 0...
30	30	-----> test "$fish_prompt_pwd_dir_length" -eq 0
16	16	-----> set -l full
28	508	-----> if test $fish_prompt_pwd_full_dirs -gt 0...
20	20	------> test $fish_prompt_pwd_full_dirs -gt 0
202	416	------> set -l all (string split -m (math $fish_prompt_pwd_full_dirs - 1) -r / $tmp)
168	214	-------> string split -m (math $fish_prompt_pwd_full_dirs - 1) -r / $tmp
46	46	--------> math $fish_prompt_pwd_full_dirs - 1
23	23	------> set tmp $all[1]
21	21	------> set full $all[2..]
153	243	-----> string join / -- (string replace -ar -- '(\.?[^/]{'"$fish_prompt_pwd_dir_length"'})[^/]*/' '$1/' $tmp) $full
90	90	------> string replace -ar -- '(\.?[^/]{'"$fish_prompt_pwd_dir_length"'})[^/]*/' '$1/' $tmp
262	5479	--> fish_vcs_prompt
246	4523	---> fish_git_prompt $argv
10	69	----> if not command -sq git...
59	59	-----> not command -sq git
7	179	----> if functions -q __fish_git_prompt_ready...
172	172	-----> functions -q __fish_git_prompt_ready
341	3981	----> set -l repo_info (command git rev-parse --git-dir --is-inside-git-dir --is-bare-repository --is-inside-work-tree HEAD 2>/dev/null)
3640	3640	-----> command git rev-parse --git-dir --is-inside-git-dir --is-bare-repository --is-inside-work-tree HEAD 2>/dev/null
39	39	----> test -n "$repo_info"
9	9	----> return
206	332	---> fish_hg_prompt $argv
22	126	----> if not command -sq hg...
94	94	-----> not command -sq hg
10	10	-----> return 1
249	362	---> fish_fossil_prompt $argv
17	113	----> if not command -sq fossil...
87	87	-----> not command -sq fossil
9	9	-----> return 1
63	3449	> fish_title
60	60	-> set -l ssh
15	15	-> set -q SSH_TTY
46	3311	-> if set -q argv[1]...
13	13	--> set -q argv[1]
206	230	--> set -l command (status current-command)
24	24	---> status current-command
17	64	--> if test "$command" = fish...
30	30	---> test "$command" = fish
17	17	---> set command
383	2958	--> echo -- $ssh (string sub -l 20 -- $command) (prompt_pwd -d 1 -D 1)
29	29	---> string sub -l 20 -- $command
149	2546	---> prompt_pwd -d 1 -D 1
29	29	----> set -l options h/help d/dir-length= D/full-length-dirs=
76	76	----> argparse -n prompt_pwd $options -- $argv
7	20	----> if set -q _flag_help...
13	13	-----> set -q _flag_help
10	10	----> set -q argv[1]
25	25	----> set argv $PWD
10	10	----> set -ql _flag_d
25	25	----> set -l fish_prompt_pwd_dir_length $_flag_d
32	32	----> set -q fish_prompt_pwd_dir_length
21	21	----> set -l fulldirs 0
10	10	----> set -ql _flag_D
23	23	----> set -l fish_prompt_pwd_full_dirs $_flag_D
12	12	----> set -q fish_prompt_pwd_full_dirs
86	2104	----> for path in $argv...
264	317	-----> set -l realhome (string escape --style=regex -- ~)
53	53	------> string escape --style=regex -- ~
423	600	-----> set -l tmp (string replace -r '^'"$realhome"'($|/)' '~$1' $path)
177	177	------> string replace -r '^'"$realhome"'($|/)' '~$1' $path
53	1101	-----> if test "$fish_prompt_pwd_dir_length" -eq 0...
43	43	------> test "$fish_prompt_pwd_dir_length" -eq 0
20	20	------> set -l full
29	607	------> if test $fish_prompt_pwd_full_dirs -gt 0...
22	22	-------> test $fish_prompt_pwd_full_dirs -gt 0
234	505	-------> set -l all (string split -m (math $fish_prompt_pwd_full_dirs - 1) -r / $tmp)
217	271	--------> string split -m (math $fish_prompt_pwd_full_dirs - 1) -r / $tmp
54	54	---------> math $fish_prompt_pwd_full_dirs - 1
30	30	-------> set tmp $all[1]
21	21	-------> set full $all[2..]
226	378	------> string join / -- (string replace -ar -- '(\.?[^/]{'"$fish_prompt_pwd_dir_length"'})[^/]*/' '$1/' $tmp) $full
152	152	-------> string replace -ar -- '(\.?[^/]{'"$fish_prompt_pwd_dir_length"'})[^/]*/' '$1/' $tmp
1469	5816	> source /usr/share/fish/completions/nvim.fish
316	316	-> type --quiet __fish_vim_tags
1985	3203	-> source (status dirname)/vim.fish
33	33	--> status dirname
11	11	--> function __fish_vim_find_tags_path...
4	4	--> function __fish_vim_tags...
159	159	--> complete -c vim -s c -r -d 'Execute Ex command after the first file has been read'
20	20	--> complete -c vim -s S -r -d 'Source file after the first file has been read'
28	28	--> complete -c vim -l cmd -r -d 'Execute Ex command before loading any vimrc'
15	15	--> complete -c vim -s d -r -d 'Use device as terminal (Amiga only)'
14	14	--> complete -c vim -s i -r -d 'Set the viminfo file location'
14	14	--> complete -c vim -s o -d 'Open horizontally split windows for each file'
14	14	--> complete -c vim -o o2 -d 'Open two horizontally split windows'
13	13	--> complete -c vim -s O -d 'Open vertically split windows for each file'
13	13	--> complete -c nvim -o O2 -d 'Open two vertically split windows'
21	21	--> complete -c vim -s p -d 'Open tab pages for each file'
14	14	--> complete -c nvim -o p2 -d 'Open two tab pages'
12	12	--> complete -c vim -s q -r -d 'Start in quickFix mode'
13	13	--> complete -c vim -s r -r -d 'Use swap files for recovery'
12	12	--> complete -c vim -s s -r -d 'Source and execute script file'
39	39	--> complete -c vim -s t -xa '(__fish_vim_tags)' -d 'Set the cursor to tag'
13	13	--> complete -c vim -s T -r -d 'Terminal name'
12	12	--> complete -c vim -s u -r -d 'Use alternative vimrc'
13	13	--> complete -c vim -s U -r -d 'Use alternative vimrc in GUI mode'
22	22	--> complete -c vim -s w -r -d 'Record all typed characters'
14	14	--> complete -c vim -s W -r -d 'Record all typed characters (overwrite file)'
11	11	--> complete -c vim -s A -d 'Start in Arabic mode'
12	12	--> complete -c vim -s b -d 'Start in binary mode'
11	11	--> complete -c vim -s C -d 'Behave mostly like vi'
11	11	--> complete -c vim -s d -d 'Start in diff mode'
11	11	--> complete -c vim -s D -d 'Debugging mode'
11	11	--> complete -c vim -s e -d 'Start in Ex mode'
12	12	--> complete -c vim -s E -d 'Start in improved Ex mode'
12	12	--> complete -c vim -s f -d 'Start in foreground mode'
10	10	--> complete -c vim -s F -d 'Start in Farsi mode'
10	10	--> complete -c vim -s g -d 'Start in GUI mode'
18	18	--> complete -c vim -s h -d 'Print help message and exit'
12	12	--> complete -c vim -s H -d 'Start in Hebrew mode'
11	11	--> complete -c vim -s L -d 'List swap files'
11	11	--> complete -c vim -s l -d 'Start in lisp mode'
18	18	--> complete -c vim -s m -d 'Disable file modification'
13	13	--> complete -c vim -s M -d 'Disallow file modification'
12	12	--> complete -c vim -s N -d 'Reset compatibility mode'
11	11	--> complete -c vim -s n -d 'Don\'t use swap files'
11	11	--> complete -c vim -s R -d 'Read only mode'
10	10	--> complete -c vim -s r -d 'List swap files'
11	11	--> complete -c vim -s s -d 'Start in silent mode'
11	11	--> complete -c vim -s V -d 'Start in verbose mode'
11	11	--> complete -c vim -s v -d 'Start in vi mode'
12	12	--> complete -c vim -s x -d 'Use encryption when writing files'
36	36	--> complete -c vim -s X -d 'Don\'t connect to X server'
34	34	--> complete -c vim -s y -d 'Start in easy mode'
55	55	--> complete -c vim -s Z -d 'Start in restricted mode'
14	14	--> complete -c vim -o nb -d 'Become an editor server for NetBeans'
12	12	--> complete -c vim -l no-fork -d 'Start in foreground mode'
13	13	--> complete -c vim -l echo-wid -d 'Echo the Window ID on stdout (GTK GUI only)'
12	12	--> complete -c vim -l help -d 'Print help message and exit'
11	11	--> complete -c vim -l literal -d 'Do not expand wildcards'
11	11	--> complete -c vim -l noplugin -d 'Skip loading plugins'
16	16	--> complete -c vim -l remote -d 'Edit files on Vim server'
32	32	--> complete -c vim -l remote-expr -d 'Evaluate expr on Vim server'
49	49	--> complete -c vim -l remote-send -d 'Send keys to Vim server'
16	16	--> complete -c vim -l remote-silent -d 'Edit files on Vim server'
12	12	--> complete -c vim -l remote-wait -d 'Edit files on Vim server'
13	13	--> complete -c vim -l remote-wait-silent -d 'Edit files on Vim server'
13	13	--> complete -c vim -l serverlist -d 'List all Vim servers that can be found'
11	11	--> complete -c vim -l servername -d 'Set server name'
13	13	--> complete -c vim -l version -d 'Print version information and exit'
13	13	--> complete -c vim -l socketid -r -d 'Run gvim in another window (GTK GUI only)'
13	13	--> complete -c vim -l clean -d 'Factory defaults: skip vimrc, plugins, viminfo'
13	13	--> complete -c vim -l startuptime -r -d 'Write startup timing messages to <file>'
45	45	-> complete -c nvim -s c -r -d 'Execute Ex command after the first file has been read'
15	15	-> complete -c nvim -s S -r -d 'Source file after the first file has been read'
14	14	-> complete -c nvim -l cmd -r -d 'Execute Ex command before loading any vimrc'
13	13	-> complete -c nvim -s i -r -d 'Set the shada file location'
12	12	-> complete -c nvim -s o -d 'Open horizontally split windows for each file'
13	13	-> complete -c nvim -o o2 -d 'Open two horizontally split windows'
44	44	-> complete -c nvim -s O -d 'Open vertically split windows for each file'
15	15	-> complete -c nvim -o O2 -d 'Open two vertically split windows'
12	12	-> complete -c nvim -s p -d 'Open tab pages for each file'
12	12	-> complete -c nvim -o p2 -d 'Open two tab pages'
13	13	-> complete -c nvim -s q -r -d 'Start in quickFix mode'
12	12	-> complete -c nvim -s r -r -d 'Use swap files for recovery'
38	38	-> complete -c nvim -s t -xa '(__fish_vim_tags)' -d 'Set the cursor to tag'
13	13	-> complete -c nvim -s u -r -d 'Use alternative vimrc'
31	31	-> complete -c nvim -s w -r -d 'Record all typed characters'
15	15	-> complete -c nvim -s W -r -d 'Record all typed characters (overwrite file)'
12	12	-> complete -c nvim -s A -d 'Start in Arabic mode'
11	11	-> complete -c nvim -s b -d 'Start in binary mode'
11	11	-> complete -c nvim -s d -d 'Start in diff mode'
24	24	-> complete -c nvim -s D -d 'Debugging mode'
26	26	-> complete -c nvim -s e -d 'Start in Ex mode, execute stdin as Ex commands'
52	52	-> complete -c nvim -s E -d 'Start in Ex mode, read stdin as text into buffer 1'
23	23	-> complete -c nvim -s h -d 'Print help message and exit'
12	12	-> complete -c nvim -s H -d 'Start in Hebrew mode'
11	11	-> complete -c nvim -s L -d 'List swap files'
12	12	-> complete -c nvim -s m -d 'Disable file modification'
11	11	-> complete -c nvim -s M -d 'Disable buffer modification'
12	12	-> complete -c nvim -s n -d 'Don\'t use swap files'
11	11	-> complete -c nvim -s R -d 'Read-only mode'
11	11	-> complete -c nvim -s r -d 'List swap files'
18	18	-> complete -c nvim -s V -d 'Start in verbose mode'
16	16	-> complete -c nvim -s h -l help -d 'Print help message and exit'
13	13	-> complete -c nvim -l noplugin -d 'Skip loading plugins'
15	15	-> complete -c nvim -s v -l version -d 'Print version information and exit'
12	12	-> complete -c nvim -l clean -d 'Factory defaults: skip vimrc, plugins, shada'
13	13	-> complete -c nvim -l startuptime -r -d 'Write startup timing messages to <file>'
11	11	-> complete -c nvim -s l -r -d 'Execute Lua script'
14	14	-> complete -c nvim -s ll -r -d 'Execute Lua script in uninitialized editor'
15	15	-> complete -c nvim -s es -d 'Start in Ex script mode, execute stdin as Ex commands'
13	13	-> complete -c nvim -s Es -d 'Start in Ex script mode, read stdin as text into buffer 1'
13	13	-> complete -c nvim -s s -r -d 'Execute script file as normal-mode input'
12	12	-> complete -c nvim -l api-info -d 'Write msgpack-encoded API metadata to stdout'
12	12	-> complete -c nvim -l embed -d 'Use stdin/stdout as a msgpack-rpc channel'
12	12	-> complete -c nvim -l headless -d "Don't start a user interface"
14	14	-> complete -c nvim -l listen -r -d 'Serve RPC API from this address (e.g. 127.0.0.1:6000)'
13	13	-> complete -c nvim -l server -r -d 'Specify RPC server to send commands to'
18	18	-> complete -c nvim -l remote -d 'Edit files on nvim server specified with --server'
13	13	-> complete -c nvim -l remote-expr -d 'Evaluate expr on nvim server specified with --server'
12	12	-> complete -c nvim -l remote-send -d 'Send keys to nvim server specified with --server'
13	13	-> complete -c nvim -l remote-silent -d 'Edit files on nvim server specified with --server'
87	3087	> fish_title nvim\ .config/hypr-profiles/desire/kitty/kitty.conf\ 
41	41	-> set -l ssh
23	23	-> set -q SSH_TTY
28	2936	-> if set -q argv[1]...
9	9	--> set -q argv[1]
496	2899	--> echo -- $ssh (string sub -l 20 -- $argv[1]) (prompt_pwd -d 1 -D 1)
34	34	---> string sub -l 20 -- $argv[1]
237	2369	---> prompt_pwd -d 1 -D 1
20	20	----> set -l options h/help d/dir-length= D/full-length-dirs=
50	50	----> argparse -n prompt_pwd $options -- $argv
4	13	----> if set -q _flag_help...
9	9	-----> set -q _flag_help
7	7	----> set -q argv[1]
15	15	----> set argv $PWD
6	6	----> set -ql _flag_d
15	15	----> set -l fish_prompt_pwd_dir_length $_flag_d
6	6	----> set -q fish_prompt_pwd_dir_length
11	11	----> set -l fulldirs 0
5	5	----> set -ql _flag_D
11	11	----> set -l fish_prompt_pwd_full_dirs $_flag_D
6	6	----> set -q fish_prompt_pwd_full_dirs
109	1967	----> for path in $argv...
229	257	-----> set -l realhome (string escape --style=regex -- ~)
28	28	------> string escape --style=regex -- ~
257	334	-----> set -l tmp (string replace -r '^'"$realhome"'($|/)' '~$1' $path)
77	77	------> string replace -r '^'"$realhome"'($|/)' '~$1' $path
55	1267	-----> if test "$fish_prompt_pwd_dir_length" -eq 0...
30	30	------> test "$fish_prompt_pwd_dir_length" -eq 0
14	14	------> set -l full
36	740	------> if test $fish_prompt_pwd_full_dirs -gt 0...
16	16	-------> test $fish_prompt_pwd_full_dirs -gt 0
188	608	-------> set -l all (string split -m (math $fish_prompt_pwd_full_dirs - 1) -r / $tmp)
243	420	--------> string split -m (math $fish_prompt_pwd_full_dirs - 1) -r / $tmp
177	177	---------> math $fish_prompt_pwd_full_dirs - 1
47	47	-------> set tmp $all[1]
33	33	-------> set full $all[2..]
305	428	------> string join / -- (string replace -ar -- '(\.?[^/]{'"$fish_prompt_pwd_dir_length"'})[^/]*/' '$1/' $tmp) $full
123	123	-------> string replace -ar -- '(\.?[^/]{'"$fish_prompt_pwd_dir_length"'})[^/]*/' '$1/' $tmp
34976485	34976485	> nvim .config/hypr-profiles/desire/kitty/kitty.conf
